X0,encoded_ocean_proximity,longitude,latitude,housing_median_age,population,median_income,median_house_value
1,1,-122.26,37.83,52,689,3.48,191400
1,1,-122.26,37.83,52,1377,2.5898,176000
1,1,-122.26,37.83,52,946,2.0978,155400
1,1,-122.26,37.83,51,517,1.2852,150000
1,1,-122.26,37.84,49,462,1.025,118800
1,1,-122.26,37.84,52,467,3.9643,188800
1,1,-122.26,37.83,52,660,3.0125,184400
1,1,-122.26,37.83,52,718,2.6768,182300
1,1,-122.26,37.83,50,616,2.026,142500
1,1,-122.27,37.82,43,558,1.7348,137500
1,1,-122.26,37.82,40,423,0.9506,187500
1,1,-122.27,37.82,40,700,1.775,112500
1,1,-122.27,37.82,21,735,0.9218,171900
1,1,-122.27,37.82,43,1061,1.5045,93800
1,1,-122.27,37.82,41,1959,1.1108,97500
1,1,-122.27,37.82,52,1162,1.2475,104200
1,1,-122.28,37.82,52,701,1.6098,87500
1,1,-122.28,37.82,52,576,1.4113,83100
1,1,-122.28,37.82,52,622,1.5057,87500
1,1,-122.28,37.82,52,728,0.8172,85300
1,1,-122.28,37.82,52,1074,1.2171,80300
1,1,-122.29,37.82,2,94,2.5625,60000
1,1,-122.29,37.83,52,554,3.3929,75700
1,1,-122.29,37.82,49,86,6.1183,75000
1,1,-122.29,37.81,50,377,0.9011,86100
1,1,-122.3,37.81,52,521,1.191,76100
1,1,-122.3,37.81,48,392,2.5938,73500
1,1,-122.3,37.81,52,604,1.1667,78400
1,1,-122.3,37.81,48,788,0.8056,84400
1,1,-122.29,37.8,52,492,2.6094,81300
1,1,-122.3,37.81,52,274,1.8516,85000
1,1,-122.29,37.81,46,1823,0.9802,129200
1,1,-122.29,37.81,26,392,1.7719,82500
1,1,-122.29,37.81,46,582,0.7286,95200
1,1,-122.29,37.81,49,560,1.75,75000
1,1,-122.29,37.81,46,18,0.4999,67500
1,1,-122.29,37.81,20,290,2.483,137500
1,1,-122.28,37.81,17,762,0.9241,177500
1,1,-122.28,37.81,36,1236,2.4464,102100
1,1,-122.28,37.81,19,721,1.1111,108300
1,1,-122.29,37.81,23,1054,0.8026,112500
1,1,-122.28,37.8,38,344,2.0114,131300
1,1,-122.28,37.81,17,609,1.5,162500
1,1,-122.27,37.81,52,183,1.1667,112500
1,1,-122.28,37.81,52,200,1.5208,112500
1,1,-122.28,37.81,52,346,0.8075,137500
1,1,-122.28,37.81,35,467,1.8088,118800
1,1,-122.28,37.81,52,377,2.4083,98200
1,1,-122.27,37.81,40,582,0.977,118800
1,1,-122.27,37.81,10,546,0.76,162500
1,1,-122.27,37.8,10,125,0.9722,137500
1,1,-122.27,37.8,52,396,1.2434,500001
1,1,-122.27,37.8,16,800,2.0938,162500
1,1,-122.28,37.8,52,904,0.8668,137500
1,1,-122.28,37.8,52,191,0.75,162500
1,1,-122.27,37.79,27,718,2.6354,187500
1,1,-122.27,37.8,39,1327,1.8477,179200
1,1,-122.26,37.8,36,3469,2.0096,130000
1,1,-122.26,37.82,31,2048,2.8345,183800
1,1,-122.26,37.81,29,202,2.0062,125000
1,1,-122.26,37.82,22,2024,1.2185,170000
1,1,-122.26,37.82,37,1838,2.6104,193100
1,1,-122.25,37.81,29,2304,2.4912,257800
1,1,-122.25,37.81,28,2563,3.2177,273400
1,1,-122.25,37.81,39,389,3.125,237500
1,1,-122.25,37.81,52,895,2.5795,350000
1,1,-122.26,37.81,34,2689,2.8406,335700
1,1,-122.24,37.82,52,674,4.9306,313400
1,1,-122.24,37.81,52,709,3.2727,268500
1,1,-122.25,37.81,52,686,3.1691,259400
1,1,-122.24,37.82,52,1444,3.9,275700
1,1,-122.25,37.82,28,1520,3.9063,225000
1,1,-122.25,37.82,52,550,5.0917,262500
1,1,-122.25,37.82,32,1806,2.6429,218500
1,1,-122.25,37.82,26,1749,3.0233,255000
1,1,-122.25,37.83,52,939,3.1484,224100
1,1,-122.25,37.83,35,675,3.4722,243100
1,1,-122.25,37.83,52,534,3.1429,231600
1,1,-122.25,37.83,28,2558,2.4234,218500
1,1,-122.25,37.83,52,1786,3.0897,234100
1,1,-122.23,37.84,50,970,5.8596,327600
1,1,-122.23,37.84,47,1098,5.2868,347600
1,1,-122.24,37.83,41,794,5.956,366100
1,1,-122.24,37.85,37,98,4.9643,335000
1,1,-122.23,37.85,52,1061,6.3434,373600
1,1,-122.24,37.84,52,1177,5.1773,389500
1,1,-122.24,37.85,52,901,7.2354,391100
1,1,-122.22,37.85,28,2031,5.457,337300
1,1,-122.22,37.84,50,1031,7.5,295200
1,1,-122.21,37.84,44,1358,6.0194,292300
1,1,-122.21,37.83,40,1616,7.5544,411500
1,1,-122.2,37.84,30,844,6.0666,311500
1,1,-122.21,37.84,34,1140,7.0548,325900
1,1,-122.19,37.84,18,533,11.6017,392600
1,1,-122.2,37.84,35,1072,7.4882,319300
1,1,-122.21,37.83,34,1627,6.8976,333300
1,1,-122.19,37.83,28,463,8.2049,335200
1,1,-122.2,37.83,26,542,8.401,351200
1,1,-122.19,37.83,29,661,6.8538,368900
1,1,-122.19,37.82,32,635,8.317,365900
1,1,-122.2,37.82,37,420,7.0175,366700
1,1,-122.2,37.82,39,1265,6.3302,362800
1,1,-122.18,37.81,30,126,6.3624,483300
1,1,-122.21,37.82,52,813,7.0549,331400
1,1,-122.2,37.81,45,1067,6.7851,323500
1,1,-122.21,37.8,50,1260,2.8929,216700
1,1,-122.21,37.8,38,951,3.0812,233100
1,1,-122.21,37.81,52,510,5.2402,296400
1,1,-122.22,37.81,52,765,6.5217,273700
1,1,-122.22,37.8,52,1129,3.2632,227700
1,1,-122.22,37.8,52,1073,3.0298,199600
1,1,-122.22,37.8,52,1185,4.5428,239800
1,1,-122.22,37.81,52,756,4.072,270100
1,1,-122.22,37.81,52,1034,5.3509,302100
1,1,-122.23,37.8,52,787,3.1603,269500
1,1,-122.23,37.81,52,612,4.7708,314700
1,1,-122.22,37.81,52,1021,8.1564,390100
1,1,-122.23,37.81,52,861,8.8793,410300
1,1,-122.24,37.81,52,953,6.8591,352400
1,1,-122.24,37.81,52,634,6.0302,287300
1,1,-122.23,37.81,52,878,7.508,348700
1,1,-122.24,37.81,52,918,2.7477,243800
1,1,-122.24,37.8,52,360,2.1944,211500
1,1,-122.25,37.8,52,1197,3.0149,218400
1,1,-122.24,37.81,52,1048,3.675,269900
1,1,-122.25,37.81,46,1373,3.225,218800
1,1,-122.25,37.8,42,1715,2.9345,225000
1,1,-122.25,37.8,43,1359,2.1429,250000
1,1,-122.25,37.8,41,1062,1.6121,171400
1,1,-122.25,37.8,29,1335,1.3929,193800
1,1,-122.24,37.79,27,1171,2.3173,125000
1,1,-122.25,37.79,45,1475,1.7772,97500
1,1,-122.25,37.79,50,742,2.6458,125000
1,1,-122.25,37.79,52,1086,2.181,138800
1,1,-122.25,37.8,36,1645,2.2303,116700
1,1,-122.25,37.8,43,1710,1.6504,151800
1,1,-122.24,37.8,52,731,2.2697,127000
1,1,-122.24,37.8,52,1118,2.1563,128600
1,1,-122.24,37.8,52,1006,2.1348,140600
1,1,-122.24,37.8,47,1213,2.6292,182700
1,1,-122.23,37.8,52,772,2.3833,146900
1,1,-122.24,37.8,52,1321,2.957,122800
1,1,-122.24,37.8,49,1487,2.5238,169300
1,1,-122.23,37.8,52,488,1.9375,126600
1,1,-122.23,37.8,51,949,1.9028,127900
1,1,-122.23,37.8,50,1149,2.25,123500
1,1,-122.23,37.8,52,844,2.3929,111900
1,1,-122.23,37.79,43,4367,2.1917,112800
1,1,-122.23,37.79,52,1659,2.9357,107900
1,1,-122.23,37.79,30,1011,1.8854,137500
1,1,-122.24,37.79,39,1464,2.1638,105500
1,1,-122.24,37.79,47,1237,2.125,95500
1,1,-122.24,37.79,52,647,3.375,116100
1,1,-122.24,37.79,43,1284,2.2542,112200
1,1,-122.25,37.79,51,228,2.1,75000
1,1,-122.25,37.79,39,381,1.6,112500
1,1,-122.25,37.79,52,846,3.625,125000
1,1,-122.26,37.8,20,1659,1.6929,115000
1,1,-122.22,37.77,52,520,1.6471,95000
1,1,-122.22,37.77,52,866,2.59,96400
1,1,-122.23,37.77,52,612,2.57,72000
1,1,-122.23,37.78,52,415,2.6429,71300
1,1,-122.23,37.78,52,994,3.0257,80800
1,1,-122.22,37.78,50,1525,1.4886,128800
1,1,-122.23,37.78,43,1506,1.9338,112500
1,1,-122.23,37.78,52,1008,1.4844,119400
1,1,-122.23,37.78,44,2813,1.6009,118100
1,1,-122.23,37.79,48,1481,2.0375,122500
1,1,-122.23,37.79,49,859,2.293,106300
1,1,-122.22,37.79,37,1608,2.1494,132500
1,1,-122.23,37.79,30,425,1.6198,122700
1,1,-122.23,37.79,40,564,1.3281,113300
1,1,-122.22,37.79,44,961,3.5156,109500
1,1,-122.22,37.79,52,2273,3.9048,164700
1,1,-122.21,37.79,52,600,3.0893,125000
1,1,-122.22,37.79,46,1647,2.6042,124700
1,1,-122.22,37.79,49,1201,2.5,136700
1,1,-122.22,37.79,38,2167,2.7969,141700
1,1,-122.2,37.79,29,939,2.8321,150000
1,1,-122.21,37.79,47,859,2.9583,138800
1,1,-122.21,37.79,34,1517,2.8365,139200
1,1,-122.21,37.79,35,1143,2.875,143800
1,1,-122.21,37.8,39,1109,3.0682,156500
1,1,-122.21,37.8,39,1221,3.0757,151000
1,1,-122.2,37.8,43,1115,4.9559,273000
1,1,-122.2,37.8,52,706,4.7721,217100
1,1,-122.21,37.8,52,1883,3.4861,187100
1,1,-122.2,37.8,41,804,5.1184,239600
1,1,-122.21,37.8,48,506,4.0977,229700
1,1,-122.19,37.8,48,610,4.744,257300
1,1,-122.19,37.8,46,768,4.2727,246900
1,1,-122.19,37.79,50,462,2.9844,179900
1,1,-122.2,37.79,40,667,4.1739,169600
1,1,-122.2,37.8,46,1059,3.8487,203300
1,1,-122.19,37.8,52,637,4.0114,263400
1,1,-122.19,37.79,45,1106,4.6563,231800
1,1,-122.19,37.79,28,1737,2.9297,140500
1,1,-122.2,37.79,35,1009,2.3036,126000
1,1,-122.2,37.79,49,737,2.6667,122000
1,1,-122.2,37.79,44,1354,2.619,134700
1,1,-122.21,37.79,45,1530,2.4167,139400
1,1,-122.2,37.79,45,1410,2.7788,115400
1,1,-122.21,37.78,46,1390,2.7352,137300
1,1,-122.21,37.78,52,1065,1.8472,137000
1,1,-122.21,37.78,52,792,2.6583,142600
1,1,-122.21,37.78,49,779,3.0536,137500
1,1,-122.22,37.78,44,2269,2.3906,111700
1,1,-122.21,37.78,43,1227,1.7188,126800
1,1,-122.21,37.78,47,753,2.625,111300
1,1,-122.22,37.77,40,547,2.8015,114800
1,1,-122.22,37.78,50,1807,1.7276,102300
1,1,-122.22,37.78,44,1700,2.0801,131900
1,1,-122.22,37.78,51,1543,2.489,119100
1,1,-122.21,37.76,52,1085,1.7546,80600
1,1,-122.21,37.77,52,353,4.0904,80600
1,1,-122.21,37.77,52,473,2.6765,88800
1,1,-122.2,37.77,49,1621,2.4338,102400
1,1,-122.21,37.77,46,1183,2.3309,98700
1,1,-122.21,37.77,43,836,2.2604,100000
1,1,-122.19,37.77,42,900,1.8039,92300
1,1,-122.2,37.77,39,1888,2.2562,94800
1,1,-122.2,37.77,41,1024,2.0562,102000
1,1,-122.2,37.78,52,1225,3.5398,158400
1,1,-122.2,37.78,39,1071,3.1167,121600
1,1,-122.2,37.78,50,1128,2.5401,129100
1,1,-122.2,37.77,43,1537,2.898,121400
1,1,-122.21,37.78,44,1240,2.3125,102800
1,1,-122.19,37.78,52,469,2.875,160000
1,1,-122.19,37.77,52,1086,3.3715,143900
1,1,-122.19,37.77,52,1144,3.5114,151200
1,1,-122.19,37.78,52,1109,4.3125,164400
1,1,-122.19,37.78,52,984,3.22,156500
1,1,-122.18,37.78,33,575,3.875,225000
1,1,-122.19,37.78,49,496,5.2328,174200
1,1,-122.19,37.78,52,555,3.7262,166900
1,1,-122.2,37.78,45,869,4.5893,163500
1,1,-122.18,37.79,39,236,5.2578,253000
1,1,-122.18,37.79,41,626,7.0875,240700
1,1,-122.18,37.79,46,922,3.9712,208100
1,1,-122.19,37.79,47,582,2.9514,198100
1,1,-122.19,37.79,50,546,2.6667,172800
1,1,-122.18,37.81,37,620,5.4446,336700
1,1,-122.18,37.8,34,442,6.2838,318200
1,1,-122.18,37.8,23,955,6.7527,285800
1,1,-122.13,37.77,24,916,7.0712,293000
1,1,-122.16,37.79,22,4985,5.9849,371000
1,1,-122.17,37.78,42,651,3.6875,157300
1,1,-122.17,37.77,30,1704,2.875,135300
1,1,-122.18,37.78,43,1085,3.4205,136700
1,1,-122.18,37.78,50,713,3.2984,160700
1,1,-122.17,37.78,49,468,3.875,140600
1,1,-122.17,37.78,52,296,4.175,144000
1,1,-122.16,37.77,47,570,4.375,161900
1,1,-122.16,37.77,48,446,4.7708,156300
1,1,-122.16,37.77,45,968,3.5739,176000
1,1,-122.16,37.77,39,857,3.0958,145800
1,1,-122.17,37.77,39,912,3.3958,141900
1,1,-122.17,37.77,31,1360,1.871,90700
1,1,-122.17,37.76,41,1074,1.9356,90600
1,1,-122.17,37.76,47,965,2.1842,107900
1,1,-122.18,37.76,37,933,2.2917,107000
1,1,-122.17,37.76,38,987,2.4333,98200
1,1,-122.18,37.76,50,907,1.9479,89500
1,1,-122.18,37.76,52,447,3.9063,93800
1,1,-122.18,37.76,49,1299,1.8407,96700
1,1,-122.18,37.77,27,396,2.0786,97500
1,1,-122.18,37.77,42,877,2.8125,97300
1,1,-122.18,37.76,43,1111,1.8913,91200
1,1,-122.19,37.76,49,790,1.7056,91400
1,1,-122.18,37.77,52,1479,2.2768,96200
1,1,-122.18,37.77,51,1173,3.2552,120100
1,1,-122.18,37.77,52,1029,2.0556,100000
1,1,-122.19,37.76,52,1030,2.4659,94700
1,1,-122.2,37.76,47,826,1.75,85700
1,1,-122.19,37.77,41,1412,2.0469,89300
1,1,-122.19,37.77,45,1132,2.7159,101400
1,1,-122.19,37.76,41,522,1.2083,72500
1,1,-122.19,37.76,45,630,1.925,74100
1,1,-122.2,37.75,36,531,1.5809,70000
1,1,-122.2,37.76,37,1925,1.4097,84600
1,1,-122.19,37.76,38,1144,0.7683,81800
1,1,-122.19,37.75,19,1481,1.3194,81400
1,1,-122.19,37.75,28,435,0.8012,81800
1,1,-122.19,37.76,26,984,1.9479,85800
1,1,-122.19,37.74,36,567,1.1765,87100
1,1,-122.18,37.74,42,380,2.3456,83500
1,1,-122.19,37.73,44,825,2.1538,79700
1,1,-122.19,37.74,43,417,2.5139,83400
1,1,-122.19,37.73,45,801,1.2625,84700
1,1,-122.18,37.73,42,646,2.9063,80000
1,1,-122.18,37.73,43,855,2.5192,76400
1,1,-122.18,37.73,44,435,2.1111,79700
1,1,-122.18,37.73,42,2736,2.455,82400
1,1,-122.17,37.74,41,1481,2.4028,97700
1,1,-122.17,37.74,47,327,2.15,97200
1,1,-122.17,37.74,43,494,2.4776,101600
1,1,-122.17,37.73,43,1231,2.1587,86500
1,1,-122.18,37.74,35,323,1.8438,90500
1,1,-122.17,37.74,46,749,3.0298,107600
1,1,-122.17,37.74,46,693,2.25,84200
1,1,-122.18,37.74,46,1339,2.2467,88900
1,1,-122.18,37.75,45,282,4.0469,80700
1,1,-122.18,37.75,46,621,1.325,87100
1,1,-122.17,37.75,38,732,1.6196,85100
1,1,-122.18,37.75,45,901,2.1731,82000
1,1,-122.19,37.75,36,482,1.9167,82800
1,1,-122.18,37.75,43,652,2.069,84600
1,1,-122.18,37.75,36,651,1.712,82100
1,1,-122.17,37.76,33,999,2.5625,89300
1,1,-122.17,37.75,43,907,1.9821,98300
1,1,-122.17,37.75,41,828,2.5043,92300
1,1,-122.17,37.75,44,763,2.3281,88800
1,1,-122.17,37.75,48,935,1.4375,90000
1,1,-122.16,37.76,45,1437,2.5122,95500
1,1,-122.16,37.75,38,1516,1.5625,91700
1,1,-122.17,37.75,47,597,3.1587,100400
1,1,-122.17,37.76,40,949,1.8426,94800
1,1,-122.16,37.76,46,881,4.6696,164300
1,1,-122.16,37.76,36,1438,2.4598,155500
1,1,-122.15,37.76,39,763,6.0749,196900
1,1,-122.14,37.77,27,1297,4.8304,279100
1,1,-122.14,37.76,34,545,5.5701,252800
1,1,-122.13,37.76,26,1222,5.37,275400
1,1,-122.12,37.75,33,808,6.86,250000
1,1,-122.12,37.75,28,329,7.6923,329800
1,1,-122.14,37.75,36,299,4.0313,195500
1,1,-122.14,37.75,33,579,6.8323,255900
1,1,-122.13,37.75,30,137,4.975,311100
1,1,-122.13,37.75,36,229,5.3602,330000
1,1,-122.13,37.74,41,1476,5.0,248900
1,1,-122.16,37.75,46,429,2.925,142900
1,1,-122.15,37.75,40,849,3.8913,126300
1,1,-122.15,37.75,44,946,3.225,135800
1,1,-122.15,37.74,41,571,3.1458,130600
1,1,-122.16,37.75,24,1137,2.537,107900
1,1,-122.16,37.75,44,378,2.5568,111100
1,1,-122.15,37.74,43,853,3.5083,122000
1,1,-122.15,37.74,49,764,3.3125,118000
1,1,-122.16,37.75,40,928,1.8235,95200
1,1,-122.16,37.75,35,406,3.8047,94300
1,1,-122.17,37.74,34,824,2.2917,92500
1,1,-122.17,37.75,37,835,2.4962,91800
1,1,-122.16,37.74,43,826,4.0417,109400
1,1,-122.16,37.74,46,567,3.4844,129500
1,1,-122.16,37.74,52,355,4.1458,143400
1,1,-122.16,37.74,47,533,2.625,98200
1,1,-122.16,37.74,44,609,2.0227,103100
1,1,-122.29,37.9,49,576,3.3333,276800
1,1,-122.29,37.9,52,594,5.338,270900
1,1,-122.29,37.89,52,870,3.4732,246200
1,1,-122.3,37.9,38,1027,3.5125,224200
1,1,-122.29,37.89,52,693,3.1375,229100
1,1,-122.3,37.89,46,815,2.8036,211600
1,1,-122.3,37.9,15,2420,4.5824,256100
1,1,-122.3,37.89,36,518,3.0208,206300
1,1,-122.3,37.89,52,620,4.0875,221300
1,1,-122.33,37.89,42,551,4.5268,207400
1,1,-122.34,37.88,37,2556,1.7375,350000
1,1,-122.29,37.89,52,1498,3.1795,218200
1,1,-122.29,37.88,50,523,3.8672,216700
1,1,-122.29,37.89,52,374,5.1675,270600
1,1,-122.29,37.89,52,1004,5.1696,261400
1,1,-122.28,37.88,52,769,4.2614,261300
1,1,-122.29,37.89,52,940,5.0551,232200
1,1,-122.27,37.9,42,645,5.6228,375400
1,1,-122.26,37.9,52,705,7.8864,357300
1,1,-122.27,37.9,52,684,7.9556,374400
1,1,-122.27,37.9,52,572,6.174,358800
1,1,-122.27,37.9,52,671,6.9414,417500
1,1,-122.27,37.89,52,975,8.8342,430500
1,1,-122.28,37.9,52,779,7.1754,362900
1,1,-122.28,37.9,52,658,10.0825,397000
1,1,-122.28,37.9,52,819,4.9083,346800
1,1,-122.28,37.89,52,412,5.7912,327100
1,1,-122.28,37.89,52,835,4.5893,290100
1,1,-122.28,37.89,52,722,5.4171,292000
1,1,-122.28,37.89,52,1085,4.125,270900
1,1,-122.27,37.89,52,973,7.266,371100
1,1,-122.27,37.89,52,723,5.3989,335600
1,1,-122.26,37.9,37,903,7.8336,371300
1,1,-122.25,37.89,41,356,6.1593,344000
1,1,-122.26,37.89,52,1005,6.381,342200
1,1,-122.26,37.89,52,1205,6.6828,370900
1,1,-122.25,37.89,37,987,7.5385,350000
1,1,-122.25,37.89,42,1031,6.7138,368600
1,1,-122.26,37.88,52,894,6.2425,391800
1,1,-122.26,37.88,52,823,5.7979,415300
1,1,-122.27,37.88,52,1232,4.2813,284900
1,1,-122.27,37.88,52,669,3.5417,287500
1,1,-122.27,37.88,44,989,3.0132,272900
1,1,-122.28,37.88,52,1058,4.1429,259600
1,1,-122.28,37.88,52,506,4.1912,254500
1,1,-122.28,37.88,52,489,3.9167,235600
1,1,-122.29,37.88,52,824,3.8897,218400
1,1,-122.29,37.88,48,1034,3.1065,229200
1,1,-122.29,37.88,46,920,2.9926,192100
1,1,-122.29,37.88,52,841,3.556,179300
1,1,-122.3,37.88,45,749,1.475,187500
1,1,-122.3,37.88,52,208,1.6971,138800
1,1,-122.3,37.87,10,228,2.1705,150000
1,1,-122.3,37.86,50,287,2.75,140600
1,1,-122.29,37.85,52,218,2.5682,120000
1,1,-122.3,37.88,46,854,2.9,144800
1,1,-122.3,37.87,52,1695,2.2208,144800
1,1,-122.28,37.88,52,403,3.2344,245500
1,1,-122.28,37.87,52,288,3.5156,200000
1,1,-122.28,37.87,49,963,1.9805,173700
1,1,-122.29,37.87,50,1129,2.6684,185600
1,1,-122.29,37.87,52,386,3.875,182600
1,1,-122.28,37.88,52,811,3.006,227900
1,1,-122.28,37.87,46,1293,2.543,220700
1,1,-122.28,37.87,46,805,2.8676,212000
1,1,-122.27,37.88,52,1372,2.1907,271400
1,1,-122.27,37.87,30,862,1.7778,268800
1,1,-122.27,37.88,37,1152,2.52,277800
1,1,-122.26,37.88,52,483,4.2788,332500
1,1,-122.26,37.88,52,1558,2.944,338900
1,1,-122.26,37.88,52,1798,1.725,287500
1,1,-122.25,37.87,41,266,5.2289,384600
1,1,-122.25,37.87,42,2184,2.5562,371400
1,1,-122.25,37.87,52,2016,0.949,350000
1,1,-122.25,37.87,52,1349,1.1696,500001
1,1,-122.26,37.87,52,3337,1.4012,175000
1,1,-122.26,37.87,52,1721,1.1859,241700
1,1,-122.27,37.87,35,1675,1.7464,216700
1,1,-122.27,37.87,49,707,2.8846,211300
1,1,-122.27,37.87,52,1424,2.7372,210200
1,1,-122.28,37.86,52,393,3.8594,196400
1,1,-122.28,37.87,52,828,3.5625,191700
1,1,-122.28,37.87,52,571,2.2788,182300
1,1,-122.29,37.87,44,1382,2.537,175000
1,1,-122.29,37.87,46,792,2.525,165900
1,1,-122.29,37.86,52,815,1.9946,156900
1,1,-122.28,37.86,52,788,2.8214,164300
1,1,-122.29,37.87,52,1145,2.6165,150000
1,1,-122.29,37.86,50,1354,1.9483,150500
1,1,-122.28,37.86,52,958,1.9327,169900
1,1,-122.28,37.86,49,1361,1.9798,147400
1,1,-122.28,37.85,52,1005,2.4167,152700
1,1,-122.27,37.86,49,924,2.5417,182700
1,1,-122.28,37.86,52,780,3.3906,179300
1,1,-122.28,37.86,52,1582,2.5652,157700
1,1,-122.28,37.86,41,1213,2.2845,153100
1,1,-122.27,37.86,52,486,2.6071,250000
1,1,-122.27,37.86,52,494,3.15,206300
1,1,-122.27,37.86,52,849,2.6914,218800
1,1,-122.27,37.86,52,1127,1.8447,198200
1,1,-122.26,37.86,35,3276,1.6307,253600
1,1,-122.26,37.86,52,1493,2.9044,257400
1,1,-122.26,37.86,52,1461,2.9405,289500
1,1,-122.26,37.86,52,1253,3.3893,241700
1,1,-122.25,37.86,48,1656,3.0417,489600
1,1,-122.25,37.86,52,514,7.0897,446200
1,1,-122.25,37.86,52,719,5.0463,456300
1,1,-122.25,37.86,52,878,1.7652,336800
1,1,-122.24,37.86,52,517,7.8521,500001
1,1,-122.24,37.85,52,1366,9.3959,500001
1,1,-122.25,37.86,52,1316,5.3794,376900
1,1,-122.26,37.85,52,1508,3.2619,309600
1,1,-122.27,37.85,52,1800,2.7054,182300
1,1,-122.27,37.85,47,719,2.2431,172700
1,1,-122.27,37.85,50,675,1.9028,150800
1,1,-122.27,37.85,52,875,1.5817,153600
1,1,-122.27,37.85,52,152,2.2841,106300
1,1,-122.27,37.85,47,843,1.3785,142300
1,1,-122.28,37.85,52,281,2.9018,119400
1,1,-122.28,37.85,44,506,1.73,147900
1,1,-122.28,37.85,48,1054,2.2625,132900
1,1,-122.29,37.84,35,1017,2.2106,132500
1,1,-122.28,37.83,52,1623,2.6997,126900
1,1,-122.3,37.84,14,3100,4.0018,143800
1,1,-122.23,37.83,52,947,7.8772,500001
1,1,-122.22,37.82,39,808,11.8603,500001
1,1,-122.22,37.82,42,1018,13.499,500001
1,1,-122.23,37.82,52,1001,12.2138,500001
1,1,-122.23,37.82,52,1005,8.1872,466100
1,1,-122.23,37.82,52,1192,12.3804,500001
1,1,-122.24,37.83,52,585,5.8948,457800
1,1,-122.24,37.83,52,916,8.1194,471600
1,1,-122.23,37.82,52,556,8.7477,500001
1,1,-122.24,37.82,52,1470,6.155,398600
1,1,-122.25,37.82,52,1104,5.883,340700
1,1,-122.23,37.76,52,1242,5.2128,289900
1,1,-122.23,37.76,52,805,4.7188,335300
1,1,-122.23,37.76,52,378,5.2915,333000
1,1,-122.24,37.77,52,481,2.6411,241000
1,1,-122.23,37.77,52,409,3.3214,189600
1,1,-122.24,37.77,52,885,3.6417,206300
1,1,-122.25,37.77,52,1468,3.0161,215700
1,1,-122.25,37.77,52,482,3.1771,210200
1,1,-122.25,37.77,52,825,3.4531,208800
1,1,-122.25,37.77,52,429,4.3098,197900
1,1,-122.26,37.78,52,528,3.3438,201300
1,1,-122.26,37.78,52,496,2.9213,190800
1,1,-122.27,37.78,52,718,2.6806,207900
1,1,-122.27,37.78,52,630,3.7708,215300
1,1,-122.27,37.78,45,723,3.9444,212900
1,1,-122.27,37.78,13,959,5.2601,292700
1,1,-122.28,37.79,30,3668,2.5444,275000
1,1,-122.3,37.77,42,2037,2.6447,200000
1,1,-122.28,37.78,29,3741,2.5762,173400
1,1,-122.29,37.78,42,821,1.9427,102200
1,1,-122.28,37.77,52,870,2.9688,220800
1,1,-122.28,37.77,27,1901,3.75,242800
1,1,-122.29,37.76,18,1243,5.1702,265400
1,1,-122.28,37.78,50,730,2.5139,219000
1,1,-122.26,37.77,52,793,2.9732,282100
1,1,-122.27,37.77,52,1033,5.5337,372000
1,1,-122.27,37.77,52,872,4.1667,225800
1,1,-122.27,37.77,52,849,2.7115,220800
1,1,-122.27,37.77,52,1121,3.3269,234500
1,1,-122.25,37.77,52,872,3.2685,254200
1,1,-122.26,37.77,52,637,4.7778,351800
1,1,-122.26,37.77,52,663,4.226,275000
